source,created_at_local,pick_up_latitude,pick_up_longitude,drop_off_latitude,drop_off_longitude,city,fare,pick_up_distance,state
ADR,2013-09-22 23:46:18.000000,14.604348000000002,120.998654,14.537370000000001,120.994423,Metro Manila,281.875,0.389894,CANCELLED
T47,2013-11-04 03:51:59.000000,14.590098999999999,121.082645,14.508610999999998,121.019444,Metro Manila,413.125,2.2097700000000002,COMPLETED
T47,2013-11-21 05:21:24.000000,14.582707000000001,121.061458,14.537752,121.001379,Metro Manila,277.5,2.7029099999999997,COMPLETED
ADR,2013-09-16 20:53:34.000000,14.585811999999999,121.060171,14.575915,121.08548700000001,Metro Manila,220.625,0.321403,CANCELLED
IOS,2013-09-10 23:49:16.000000,14.552010000000001,121.05126000000001,14.63021,120.99592,Metro Manila,378.125,0.667067,COMPLETED
T47,2013-11-12 21:26:18.000000,14.589394,121.059928,14.444545999999999,120.993874,Metro Manila,505.0,0.289595,COMPLETED
IOS,2013-11-16 18:27:06.000000,14.58645,121.04887,14.63925,121.03681,Metro Manila,229.375,1.54755,COMPLETED
T47,2013-09-21 09:47:03.000000,14.588782,121.09731699999999,14.583526,121.05698000000001,Metro Manila,211.875,2.91636,COMPLETED
IOS,2013-08-28 18:37:49.000000,14.606879999999999,121.08063,14.619470000000002,121.08618,Metro Manila,163.75,0.854165,COMPLETED
IOS,2013-12-18 16:14:03.000000,14.580729999999999,121.05603,14.585679999999998,121.07864,Metro Manila,176.875,0.7139840000000001,COMPLETED
T47,2013-10-09 21:09:54.000000,14.606341,121.07220600000001,14.65073,121.102855,Metro Manila,255.625,2.13367,COMPLETED
IOS,2013-09-27 19:07:23.000000,14.5867,121.06216,14.55264,121.02508999999999,Metro Manila,220.625,0.475091,COMPLETED
IOS,2013-12-06 22:54:56.000000,14.520660000000001,121.0136,14.579229999999999,121.024,Metro Manila,238.125,1.9740099999999998,COMPLETED
IOS,2013-10-11 22:12:15.000000,14.551839999999999,121.02193999999999,14.57944,121.03591999999999,Metro Manila,207.5,0.484101,COMPLETED
IOS,2013-09-23 17:37:21.000000,14.55287,121.0471,14.55096,121.0233,Metro Manila,190.0,0.941629,COMPLETED
IOS,2013-09-01 12:08:12.000000,14.5764,121.03971999999999,14.552010000000001,121.05126000000001,Metro Manila,216.25,1.29251,CANCELLED
IOS,2013-09-19 12:30:30.000000,14.55585,121.02356999999999,14.55083,121.0542,Metro Manila,203.125,0.22764299999999998,COMPLETED
ADR,2013-10-03 13:51:14.000000,14.551341,121.016678,14.549732,121.02677,Metro Manila,168.125,0.638074,COMPLETED
IOS,2013-09-28 00:25:21.000000,14.552129999999998,121.02282,14.61825,120.98596,Metro Manila,312.5,1.78689,COMPLETED
ADR,2013-09-09 07:50:42.000000,14.561096,121.07660700000001,14.592875,121.028582,Metro Manila,255.625,3.4244800000000004,CANCELLED
ADR,2013-09-13 22:36:32.000000,14.554808999999999,121.04763100000001,14.574944,120.98493799999999,Metro Manila,308.125,0.647543,COMPLETED
IOS,2013-09-18 10:39:33.000000,14.57301,121.07686000000001,14.570129999999999,121.04709,Metro Manila,225.0,2.10955,COMPLETED
IOS,2013-09-18 19:53:27.000000,14.58175,121.06103,14.54013,120.99826999999999,Metro Manila,290.625,0.7570279999999999,COMPLETED
IOS,2013-09-11 07:24:55.000000,14.57034,121.05617,14.583879999999999,121.05693000000001,Metro Manila,176.875,1.0036399999999999,COMPLETED
IOS,2013-09-10 22:07:32.000000,14.553170000000001,121.02571999999999,14.57751,121.03378000000001,Metro Manila,207.5,0.6434529999999999,COMPLETED
IOS,2013-08-29 12:37:28.000000,14.54224,121.0264,14.55495,121.01552,Metro Manila,168.125,1.09464,COMPLETED
T47,2013-09-14 02:04:46.000000,14.567198000000001,121.092266,14.508610999999998,121.019444,Metro Manila,338.75,2.18035,COMPLETED
T47,2013-09-05 05:14:32.000000,14.575373999999998,121.09109199999999,14.554729,121.024445,Metro Manila,273.125,0.407294,CANCELLED
ADR,2013-10-18 18:41:19.000000,14.576376999999999,121.08510600000001,14.663866,120.94486100000002,Metro Manila,474.375,3.66117,COMPLETED
IOS,2013-09-29 19:50:16.000000,14.5813,121.058,14.60955,121.0468,Metro Manila,211.875,0.700703,COMPLETED
IOS,2013-10-29 17:34:46.000000,14.5764,121.085,14.58164,121.05819,Metro Manila,216.25,2.52053,CANCELLED
IOS,2013-09-19 07:27:13.000000,14.55083,121.0542,14.66588,121.0894,Metro Manila,382.5,0.576761,CANCELLED
IOS,2013-11-16 04:13:32.000000,14.5607,121.02021,14.51955,121.0138,Metro Manila,268.75,0.26669,COMPLETED
T47,2013-10-22 16:05:44.000000,14.553006,121.05213,14.608854999999998,121.07978899999999,Metro Manila,255.625,0.701896,COMPLETED
T47,2013-11-17 14:53:51.000000,14.582707000000001,121.061458,14.554729,121.024445,Metro Manila,211.875,0.549624,COMPLETED
T47,2013-10-29 08:18:51.000000,14.579444,121.035917,14.554729,121.024445,Metro Manila,220.625,3.04088,COMPLETED
IOS,2013-10-14 06:51:12.000000,14.617220000000001,121.06307,14.55473,121.02445,Metro Manila,299.375,0.902487,COMPLETED
IOS,2013-09-30 22:52:08.000000,14.51955,121.0138,14.58645,121.04887,Metro Manila,334.375,0.930853,COMPLETED
T47,2013-09-22 18:35:53.000000,14.554729,121.024445,14.516241,120.98548100000001,Metro Manila,260.0,1.10699,COMPLETED
IOS,2013-12-23 15:31:52.000000,14.55776,121.10373,14.583860000000001,121.05712,Metro Manila,225.0,0.41597,CANCELLED
T47,2013-09-17 03:12:44.000000,14.571270000000002,121.099476,14.508610999999998,121.019444,Metro Manila,373.75,2.0813200000000003,COMPLETED
VNU,2013-12-29 17:35:15.000000,14.549732,121.02677,14.517617999999999,121.05086399999999,Metro Manila,203.125,0.0564028,COMPLETED
ADR,2013-09-10 07:36:10.000000,14.526282,121.042728,14.558117000000001,121.016979,Metro Manila,268.75,1.3610799999999998,COMPLETED
IOS,2013-10-02 06:06:19.000000,14.670020000000001,121.04605,14.555420000000002,121.01563,Metro Manila,456.875,0.560846,COMPLETED
IOS,2013-09-08 13:58:18.000000,14.59399,121.10122,14.583860000000001,121.05712,Metro Manila,225.0,1.31195,COMPLETED
IOS,2013-10-14 20:27:19.000000,14.546579999999999,121.03437,14.577020000000001,121.05008000000001,Metro Manila,225.0,1.0097,COMPLETED
IOS,2013-09-08 23:11:52.000000,14.506870000000001,121.00403,14.51955,121.0138,Metro Manila,207.5,0.379175,COMPLETED
